,gene_id,names
93,185575,tbx-11
100,191435,tbx-36
364,190678,tbx-39
98,190679,tbx-40
96,188917,tbx-41
99,260030,tbx-7
95,176450,tbx-8
394,178338,tlp-1
418,176548,tra-1
63,180313,ttx-1
381,171804,ubxn-1
110,174721,unc-130
77,181573,unc-3
66,178265,unc-30
61,192081,unc-42
70,178845,unc-62
405,181020,unc-98
57,181197,vab-15
352,181251,vab-3
408,179212,W02D7.6
395,189182,W04B5.2
331,175541,xbp-1
192,178477,Y116A8C.19
508,174837,Y17G7B.20
409,177118,Y37E11B.1
396,259399,Y37F4.6
135,171918,Y47G6A.7
144,3565634,Y48G8AL.10
181,190310,Y55F3AM.14
430,176918,Y55F3AM.6
172,178004,Y5F2A.4
305,178305,Y62E10A.14
306,176870,Y66H1A.4
138,259490,Y82E9BR.17
307,173536,ZC204.12
423,171670,zfh-2
177,174505,zfp-2
183,177568,zgpa-1
130,3565259,zim-1
393,188246,zim-3
333,177099,zip-11
330,175240,zip-2
28,171900,zip-4
328,183204,zip-5
25,175924,zip-8
140,191237,ZK177.3
165,173850,ZK546.5
399,176095,ZK652.6
117,191389,ZK673.4
182,172845,ztf-11
403,186116,ztf-13
389,187492,ztf-14
171,172470,ztf-15
422,180756,ztf-16
137,174971,ztf-22
175,171880,ztf-23
159,172699,ztf-26
149,185364,ztf-28
147,182317,ztf-30
131,172422,ztf-4
410,175726,ztf-8
303,174951,zyx-1
